"","store","week","total_sales","total_units"
"1",1,50,4,2
"2",1,53,2.89,1
"3",1,55,5.38,2
"4",1,58,10.76,4
"5",1,61,5.38,2
"6",1,62,2.69,1
"7",1,68,2,1
"8",1,73,2.69,1
"9",1,74,5.38,2
"10",1,79,5.78,2
"11",1,81,2,1
"12",1,94,4,2
"13",1,95,10,5
"14",1,96,2,1
"15",1,97,4,2
"16",1,98,4,2
"17",1,99,2.89,1
"18",2,53,2.89,1
"19",2,55,2.69,1
"20",2,57,5.38,2
"21",2,61,2.69,1
"22",2,62,2.69,1
"23",2,67,4,2
"24",2,77,2.89,1
"25",2,78,2.89,1
"26",2,80,2.89,1
"27",2,83,2.34,1
"28",2,84,2.89,1
"29",2,87,1.5,1
"30",2,88,2.39,1
"31",2,97,4,2
"32",2,98,8,4
"33",3,50,2,1
"34",3,69,2.69,1
"35",3,71,2.69,1
"36",3,90,2.89,1
"37",3,92,2.89,1
"38",3,94,6,3
"39",3,97,2,1
"40",3,98,4,2
"41",3,101,2.89,1
"42",3,102,2.89,1
"43",3,103,2.89,1
"44",4,64,2.69,1
"45",4,67,2,1
"46",4,76,2.69,1
"47",4,77,2.69,1
"48",4,79,2.89,1
"49",4,81,2,1
"50",4,82,2.89,1
"51",4,85,2.89,1
"52",4,93,2.89,1
"53",4,94,2,1
"54",4,95,2,1
"55",4,98,2,1
"56",4,99,1.5,1
"57",4,100,1.5,1
"58",4,101,6,4
"59",4,104,1.5,1
"60",5,49,2,1
"61",5,56,2.69,1
"62",5,60,5.38,2
"63",5,68,4,2
"64",5,71,2.69,1
"65",5,78,2.89,1
"66",5,80,5.78,2
"67",5,83,2.89,1
"68",5,87,3,2
"69",5,95,6,3
"70",5,96,2,1
"71",5,97,14,7
"72",5,98,2,1
"73",5,100,3,2
"74",5,101,3,2
"75",5,102,6,4
"76",6,49,2,1
"77",6,51,2.5,1
"78",6,52,2.5,1
"79",6,53,2.89,1
"80",6,54,2.69,1
"81",6,58,2.69,1
"82",6,59,2.69,1
"83",6,61,5.38,2
"84",6,67,2,1
"85",6,68,4,2
"86",6,75,5.38,2
"87",6,77,2.89,1
"88",6,79,2.89,1
"89",6,80,2.89,1
"90",6,86,2.39,1
"91",6,95,10,5
"92",6,98,2,1
"93",6,99,10,5
"94",6,100,2,1
"95",6,101,4,2
"96",6,102,4,2
"97",6,104,4,2
"98",7,49,4,2
"99",7,69,2.69,1
"100",7,80,2.89,1
"101",7,81,2,1
"102",7,87,1.5,1
"103",7,94,2,1
"104",7,98,10,5
"105",7,100,1.5,1
"106",7,102,3,2
"107",8,49,2,1
"108",8,50,6,3
"109",8,51,2.5,1
"110",8,52,2.5,1
"111",8,55,2.69,1
"112",8,57,5.38,2
"113",8,62,5.38,2
"114",8,67,2,1
"115",8,71,2.69,1
"116",8,74,2.69,1
"117",8,76,2.69,1
"118",8,81,4,2
"119",8,83,2.89,1
"120",8,87,1.5,1
"121",8,92,2.89,1
"122",8,94,2,1
"123",8,95,2,1
"124",8,96,6,3
"125",8,97,6,3
"126",8,98,4,2
"127",9,49,10,5
"128",9,53,2.89,1
"129",9,61,2.69,1
"130",9,63,8.07,3
"131",9,66,5.38,2
"132",9,72,2.69,1
"133",9,76,2.69,1
"134",9,77,5.78,2
"135",9,81,2,1
"136",9,82,2.89,1
"137",9,84,2.89,1
"138",9,85,2.89,1
"139",9,86,2.39,1
